交易日期↓,开盘点位,最高点位,最低点位,收盘点位,涨跌,涨跌幅(%),开始日累计涨跌,开始日累计涨跌幅（%）,成交量(万股),成交额(万元)
2018/5/30,"12,882.32","12,945.62","12,543.53","12,570.28",-537.55,-4.1,"11,570.28","1,157.03","34,553.83","565,878.43"
2018/5/29,"13,199.48","13,342.84","13,101.22","13,107.83",-129.13,-0.98,"12,107.83","1,210.78","32,058.00","556,078.44"
2018/5/28,"13,447.27","13,504.29","13,232.01","13,236.96",-202.41,-1.51,"12,236.96","1,223.70","31,857.67","608,596.97"
2018/5/25,"13,708.81","13,720.61","13,428.50","13,439.37",-304.66,-2.22,"12,439.37","1,243.94","34,246.54","629,557.60"
2018/5/24,"13,847.28","13,913.20","13,734.28","13,744.03",-140.79,-1.01,"12,744.03","1,274.40","34,280.24","692,273.17"
2018/5/23,"13,924.86","14,050.64","13,865.80","13,884.83",-115.25,-0.82,"12,884.83","1,288.48","39,612.49","845,965.73"
2018/5/22,"13,932.60","14,001.71","13,852.19","14,000.08",26.23,0.19,"13,000.08","1,300.01","32,647.43","654,979.28"
2018/5/21,"13,776.28","14,021.98","13,774.00","13,973.85",232.24,1.69,"12,973.85","1,297.38","39,325.07","771,872.64"
2018/5/18,"13,750.34","13,790.98","13,581.34","13,741.61",5.05,0.04,"12,741.61","1,274.16","33,105.52","632,283.47"
2018/5/17,"13,782.89","13,844.59","13,708.42","13,736.56",-26.43,-0.19,"12,736.56","1,273.66","32,428.01","490,054.08"
2018/5/16,"13,873.66","13,879.85","13,747.72","13,762.99",-158.76,-1.14,"12,762.99","1,276.30","36,147.82","598,864.21"
2018/5/15,"13,727.72","13,921.75","13,627.75","13,921.75",244.31,1.79,"12,921.75","1,292.18","36,360.47","610,440.31"
2018/5/14,"13,797.78","13,894.24","13,618.07","13,677.45",-139.97,-1.01,"12,677.45","1,267.74","37,380.29","622,336.43"
2018/5/11,"14,059.40","14,072.35","13,813.28","13,817.41",-230.93,-1.64,"12,817.41","1,281.74","33,862.94","564,801.81"
2018/5/10,"14,137.39","14,165.05","13,931.70","14,048.34",-58.31,-0.41,"13,048.34","1,304.83","41,145.91","683,875.08"
2018/5/9,"14,129.52","14,177.01","14,018.49","14,106.65",-29.74,-0.21,"13,106.65","1,310.67","33,381.91","553,241.53"
2018/5/8,"14,136.67","14,147.18","13,993.58","14,136.39",34.39,0.24,"13,136.39","1,313.64","38,218.47","643,528.57"
2018/5/7,"13,824.26","14,146.56","13,816.32","14,102.00",337.53,2.45,"13,102.00","1,310.20","40,789.52","673,125.03"
2018/5/4,"13,899.69","13,962.49","13,755.51","13,764.47",-215.04,-1.54,"12,764.47","1,276.45","38,401.37","643,034.16"
2018/5/3,"13,668.49","13,981.99","13,425.30","13,979.50",293.54,2.14,"12,979.50","1,297.95","50,306.94","824,498.43"
2018/5/2,"13,915.68","13,981.09","13,557.17","13,685.96",-243.86,-1.75,"12,685.96","1,268.60","48,190.41","766,173.60"
2018/4/27,"14,103.38","14,159.57","13,771.05","13,929.82",-113.09,-0.81,"12,929.82","1,292.98","45,899.23","765,517.41"
2018/4/26,"14,203.92","14,288.64","14,032.58","14,042.91",-196.21,-1.38,"13,042.91","1,304.29","51,305.74","878,909.25"
2018/4/25,"14,041.91","14,314.48","14,020.26","14,239.12",88.06,0.62,"13,239.12","1,323.91","56,783.41","984,145.35"
2018/4/24,"13,714.90","14,151.20","13,650.30","14,151.06",357.9,2.59,"13,151.06","1,315.11","63,687.40","997,766.79"
2018/4/23,"13,994.87","14,091.01","13,564.98","13,793.16",-194.93,-1.39,"12,793.16","1,279.32","56,164.47","964,305.94"
2018/4/20,"14,274.02","14,402.12","13,967.47","13,988.08",-367.23,-2.56,"12,988.08","1,298.81","53,746.73","943,932.10"
2018/4/19,"14,420.04","14,641.66","14,349.87","14,355.31",-160.54,-1.11,"13,355.31","1,335.53","66,082.67","1,206,564.49"
2018/4/18,"14,169.96","14,601.10","13,933.26","14,515.86",418.09,2.97,"13,515.86","1,351.59","70,687.31","1,319,435.77"
2018/4/17,"14,688.65","14,725.35","14,090.38","14,097.77",-534.06,-3.65,"13,097.77","1,309.78","64,953.61","1,185,406.74"
2018/4/16,"14,215.82","14,633.62","14,198.25","14,631.83",357.15,2.5,"13,631.83","1,363.18","76,059.20","1,375,708.64"
2018/4/13,"14,249.77","14,342.00","14,185.96","14,274.69",109.36,0.77,"13,274.69","1,327.47","51,949.84","878,165.83"
2018/4/12,"14,176.28","14,282.71","14,146.80","14,165.33",-33.52,-0.24,"13,165.33","1,316.53","43,986.99","776,396.81"
2018/4/11,"14,099.52","14,319.89","14,098.14","14,198.84",117.84,0.84,"13,198.84","1,319.88","54,493.98","962,070.68"
2018/4/10,"14,195.89","14,217.56","13,869.27","14,081.01",-146.49,-1.03,"13,081.01","1,308.10","50,430.33","874,951.52"
2018/4/9,"14,135.08","14,365.32","13,959.84","14,227.49",117.14,0.83,"13,227.49","1,322.75","52,356.49","976,070.06"
2018/4/4,"14,458.25","14,499.57","14,108.55","14,110.35",-312.34,-2.17,"13,110.35","1,311.04","50,247.08","877,964.15"
2018/4/3,"14,358.34","14,427.84","14,193.18","14,422.69",-191.72,-1.31,"13,422.69","1,342.27","59,880.33","1,110,604.04"
2018/4/2,"14,509.61","14,784.83","14,427.89","14,614.41",196.58,1.36,"13,614.41","1,361.44","84,147.04","1,529,329.55"
2018/3/30,"14,079.97","14,419.76","14,069.50","14,417.84",429.15,3.07,"13,417.84","1,341.78","69,650.68","1,248,552.11"
2018/3/29,"13,928.21","14,147.68","13,872.75","13,988.69",93.5,0.67,"12,988.69","1,298.87","57,986.22","1,000,981.32"
2018/3/28,"13,660.74","14,004.28","13,637.13","13,895.18",18.4,0.13,"12,895.18","1,289.52","63,584.44","1,094,126.98"
2018/3/27,"13,427.17","13,907.01","13,427.17","13,876.79",606.69,4.57,"12,876.79","1,287.68","78,536.01","1,377,402.21"
2018/3/26,"12,624.30","13,280.03","12,567.12","13,270.10",398,3.09,"12,270.10","1,227.01","54,435.39","870,684.35"
2018/3/23,"13,235.60","13,403.04","12,798.29","12,872.10",-769.63,-5.64,"11,872.10","1,187.21","63,918.93","972,018.74"
2018/3/22,"13,546.92","13,780.41","13,543.79","13,641.73",134.74,1,"12,641.73","1,264.17","45,103.04","745,842.93"
2018/3/21,"13,760.23","13,904.27","13,502.97","13,506.99",-222.36,-1.62,"12,506.99","1,250.70","45,519.13","790,156.26"
2018/3/20,"13,491.29","13,733.09","13,462.94","13,729.35",97.63,0.72,"12,729.35","1,272.94","40,495.06","693,370.40"
2018/3/19,"13,375.52","13,719.74","13,374.18","13,631.72",228.11,1.7,"12,631.72","1,263.17","49,309.16","787,462.46"
2018/3/16,"13,465.74","13,598.81","13,402.24","13,403.61",-24.82,-0.18,"12,403.61","1,240.36","41,587.82","661,290.15"
2018/3/15,"13,417.15","13,476.79","13,144.70","13,428.43",-54.75,-0.41,"12,428.43","1,242.84","47,638.20","769,016.39"
2018/3/14,"13,714.28","13,791.60","13,478.75","13,483.18",-297.42,-2.16,"12,483.18","1,248.32","54,556.04","896,924.12"
2018/3/13,"13,871.82","14,006.93","13,730.88","13,780.60",-103.1,-0.74,"12,780.60","1,278.06","62,075.59","1,042,987.27"
2018/3/12,"13,708.76","13,986.70","13,708.53","13,883.70",286.76,2.11,"12,883.70","1,288.37","66,520.34","1,191,957.20"
2018/3/9,"13,179.40","13,631.33","13,158.29","13,596.94",399.74,3.03,"12,596.94","1,259.69","64,697.28","1,111,794.52"
2018/3/8,"13,108.99","13,265.76","13,097.89","13,197.20",49.59,0.38,"12,197.20","1,219.72","38,884.97","676,912.64"
2018/3/7,"13,194.43","13,261.16","13,115.36","13,147.61",-114.43,-0.86,"12,147.61","1,214.76","42,511.96","688,364.04"
2018/3/6,"13,236.93","13,335.80","13,170.27","13,262.04",4.57,0.03,"12,262.04","1,226.20","53,359.10","899,167.61"
2018/3/5,"13,096.75","13,259.97","13,001.53","13,257.47",252.52,1.94,"12,257.47","1,225.75","56,924.12","938,491.43"
2018/3/2,"13,064.50","13,206.09","12,936.04","13,004.95",-45.04,-0.35,"12,004.95","1,200.49","69,588.00","1,143,480.91"
2018/3/1,"12,412.34","13,051.07","12,405.51","13,049.98",552.38,4.42,"12,049.98","1,205.00","61,111.21","1,046,860.90"
2018/2/28,"12,360.02","12,619.64","12,280.49","12,497.60",17.66,0.14,"11,497.60","1,149.76","41,854.65","655,202.92"
2018/2/27,"12,288.98","12,586.06","12,267.30","12,479.94",197.46,1.61,"11,479.94","1,147.99","45,935.54","724,924.29"
2018/2/26,"12,035.82","12,320.19","11,990.23","12,282.49",335.71,2.81,"11,282.49","1,128.25","37,794.44","578,604.90"
2018/2/23,"11,896.71","11,974.65","11,858.81","11,946.77",16.2,0.14,"10,946.77","1,094.68","24,772.48","358,346.25"
2018/2/22,"11,784.09","11,934.06","11,760.04","11,930.57",230.74,1.97,"10,930.57","1,093.06","22,958.49","333,255.96"
2018/2/14,"11,719.11","11,758.95","11,647.15","11,699.83",-36.4,-0.31,"10,699.83","1,069.98","16,561.41","251,198.24"
2018/2/13,"11,788.30","11,888.90","11,724.98","11,736.24",-26.59,-0.23,"10,736.24","1,073.62","33,885.04","498,932.89"
2018/2/12,"11,460.65","11,829.93","11,460.65","11,762.83",375.33,3.3,"10,762.83","1,076.28","29,900.56","438,391.47"
2018/2/9,"11,359.84","11,549.04","11,194.40","11,387.50",-289.02,-2.48,"10,387.50","1,038.75","31,407.59","436,346.00"
2018/2/8,"11,421.08","11,692.24","11,406.38","11,676.52",217.32,1.9,"10,676.52","1,067.65","28,955.60","413,344.71"
2018/2/7,"11,533.83","11,605.75","11,084.61","11,459.20",155.78,1.38,"10,459.20","1,045.92","38,690.38","507,465.36"
2018/2/6,"11,750.07","11,864.39","11,276.12","11,303.42",-643.89,-5.39,"10,303.42","1,030.34","35,858.87","450,776.96"
2018/2/5,"11,832.78","12,052.03","11,796.94","11,947.32",-110.62,-0.92,"10,947.32","1,094.73","21,917.28","297,989.83"
2018/2/2,"12,053.95","12,219.52","11,837.09","12,057.94",-153.05,-1.25,"11,057.94","1,105.79","30,015.22","395,315.68"
2018/2/1,"12,704.65","12,768.24","12,210.23","12,210.99",-568.3,-4.45,"11,210.99","1,121.10","30,692.62","409,855.86"
2018/1/31,"13,121.66","13,145.00","12,757.78","12,779.29",-426.75,-3.23,"11,779.29","1,177.93","29,641.11","414,302.31"
2018/1/30,"13,253.73","13,354.77","13,180.66","13,206.04",-53.32,-0.4,"12,206.04","1,220.60","22,911.31","324,998.34"
2018/1/29,"13,494.42","13,552.87","13,232.95","13,259.36",-293.64,-2.17,"12,259.36","1,225.94","32,545.59","460,354.49"
2018/1/26,"13,504.79","13,668.05","13,496.99","13,553.01",29.88,0.22,"12,553.01","1,255.30","30,024.78","442,076.26"
2018/1/25,"13,599.73","13,763.09","13,522.78","13,523.12",-129.47,-0.95,"12,523.12","1,252.31","39,443.84","558,622.28"
2018/1/24,"13,384.95","13,652.59","13,341.02","13,652.59",257.65,1.92,"12,652.59","1,265.26","40,050.39","610,917.25"
2018/1/23,"13,423.79","13,533.47","13,365.83","13,394.94",-69.62,-0.52,"12,394.94","1,239.49","30,466.64","416,940.05"
2018/1/22,"13,199.62","13,488.26","13,059.17","13,464.56",228.26,1.72,"12,464.56","1,246.46","31,735.46","485,472.69"
2018/1/19,"13,225.61","13,349.71","13,216.21","13,236.30",-21.58,-0.16,"12,236.30","1,223.63","24,265.20","344,243.01"
2018/1/18,"13,295.06","13,361.38","13,243.35","13,257.88",-75.91,-0.57,"12,257.88","1,225.79","25,294.44","349,745.80"
2018/1/17,"13,308.58","13,361.31","13,055.78","13,333.80",-41.44,-0.31,"12,333.80","1,233.38","41,882.36","581,022.01"
2018/1/16,"13,308.25","13,403.11","13,294.33","13,375.23",65.11,0.49,"12,375.23","1,237.52","38,476.84","538,624.13"
2018/1/15,"13,711.99","13,711.99","13,280.04","13,310.12",-528.29,-3.82,"12,310.12","1,231.01","36,056.70","618,856.16"
2018/1/12,"14,106.08","14,135.79","13,837.43","13,838.41",-324.47,-2.29,"12,838.41","1,283.84","36,428.52","673,090.54"
2018/1/11,"13,805.34","14,212.80","13,750.71","14,162.88",324.75,2.35,"13,162.88","1,316.29","56,076.63","973,450.46"
2018/1/10,"13,650.28","13,845.90","13,575.79","13,838.13",200.16,1.47,"12,838.13","1,283.81","42,973.46","706,725.05"
2018/1/9,"13,673.35","13,673.35","13,591.85","13,637.98",-44.22,-0.32,"12,637.98","1,263.80","27,736.21","426,745.69"
2018/1/8,"13,729.58","13,729.58","13,557.92","13,682.20",-95.19,-0.69,"12,682.20","1,268.22","41,361.86","624,042.35"
2018/1/5,"13,834.39","13,911.20","13,772.63","13,777.39",-13.99,-0.1,"12,777.39","1,277.74","39,107.41","587,887.99"
2018/1/4,"13,776.29","13,817.94","13,732.99","13,791.38",-22.64,-0.16,"12,791.38","1,279.14","32,921.18","529,157.10"
2018/1/3,"13,689.77","13,821.30","13,654.25","13,814.01",102.57,0.75,"12,814.01","1,281.40","34,076.91","593,908.89"
2018/1/2,"13,610.00","13,711.69","13,571.55","13,711.44",137.78,1.02,"12,711.44","1,271.14","29,607.23","480,929.17"
2017/12/29,"13,477.12","13,582.01","13,477.12","13,573.66",81.77,0.61,"12,573.66","1,257.37","25,367.25","495,918.41"
2017/12/28,"13,494.42","13,584.13","13,442.49","13,491.89",-41.06,-0.3,"12,491.89","1,249.19","32,107.39","620,698.34"
2017/12/27,"13,631.94","13,729.14","13,525.66","13,532.95",-124.26,-0.91,"12,532.95","1,253.29","29,150.27","529,585.40"
2017/12/26,"13,522.18","13,658.38","13,454.65","13,657.21",113.11,0.84,"12,657.21","1,265.72","25,522.10","431,619.00"
2017/12/25,"13,687.93","13,725.95","13,508.89","13,544.10",-182.11,-1.33,"12,544.10","1,254.41","28,720.38","465,952.86"
2017/12/22,"13,837.39","13,883.04","13,706.31","13,726.20",-154.96,-1.12,"12,726.20","1,272.62","28,130.97","495,474.05"
2017/12/21,"13,836.60","13,955.56","13,664.94","13,881.16",-0.1,0,"12,881.16","1,288.12","36,265.30","645,631.49"
2017/12/20,"14,034.94","14,037.06","13,816.86","13,881.26",-180.39,-1.28,"12,881.26","1,288.13","35,848.56","640,774.08"
2017/12/19,"13,814.29","14,061.97","13,809.62","14,061.65",228,1.65,"13,061.65","1,306.16","38,057.63","675,797.44"
2017/12/18,"14,074.74","14,097.80","13,779.75","13,833.65",-283.67,-2.01,"12,833.65","1,283.36","34,217.05","638,843.54"
2017/12/15,"14,119.32","14,221.64","14,046.16","14,117.32",-76.94,-0.54,"13,117.32","1,311.73","40,621.57","747,876.01"
2017/12/14,"14,046.63","14,247.71","14,035.93","14,194.26",106.98,0.76,"13,194.26","1,319.43","46,098.85","842,656.64"
2017/12/13,"13,980.49","14,095.58","13,943.01","14,087.28",84.68,0.6,"13,087.28","1,308.73","36,819.95","655,935.38"
2017/12/12,"14,204.59","14,216.82","14,002.00","14,002.60",-71.11,-0.51,"13,002.60","1,300.26","45,886.29","810,842.93"
2017/12/11,"14,022.86","14,198.11","14,022.86","14,073.72",586.58,4.35,"13,073.72","1,307.37","49,622.42","830,894.74"
