,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
0,LGHK,SMEBoard,0000-00-00,XSHE,C38,电气机械和器材制造业,2009-12-18,002322.XSHE,100.0,Industrials,工业,Normal,Active,理工环科,CS
1,ZTDQ,MainBoard,0000-00-00,XSHG,C38,电气机械和器材制造业,2010-01-21,601877.XSHG,100.0,Industrials,工业,Normal,Active,正泰电器,CS
2,XZGF,SMEBoard,0000-00-00,XSHE,C34,通用设备制造业,2010-09-21,002480.XSHE,100.0,Industrials,工业,Normal,Active,新筑股份,CS
3,WZXC,SMEBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,2014-12-03,002735.XSHE,100.0,Materials,原材料,Normal,Active,王子新材,CS
4,ZXGA,MainBoard,0000-00-00,XSHE,I63,电信、广播电视和卫星传输服务,1997-10-31,000839.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,中信国安,CS
5,FLTK,MainBoard,0000-00-00,XSHG,C34,通用设备制造业,2017-01-25,603966.XSHG,100.0,Industrials,工业,Normal,Active,法兰泰克,CS
6,ASK,GEM,0000-00-00,XSHE,C35,专用设备制造业,2016-07-05,300521.XSHE,100.0,Industrials,工业,Normal,Active,爱司凯,CS
7,JFKJ,SMEBoard,0000-00-00,XSHE,C34,通用设备制造业,2007-12-26,002202.XSHE,100.0,Industrials,工业,Normal,Active,金风科技,CS
8,XQGF,GEM,0000-00-00,XSHE,C30,非金属矿物制品业,2011-01-13,300160.XSHE,100.0,Materials,原材料,Normal,Active,秀强股份,CS
9,HTDQ,SMEBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2004-07-26,002025.XSHE,100.0,Industrials,工业,Normal,Active,航天电器,CS
10,DAHJ,SMEBoard,0000-00-00,XSHE,C34,通用设备制造业,2004-07-05,002011.XSHE,100.0,Industrials,工业,Normal,Active,盾安环境,CS
11,YGZM,MainBoard,0000-00-00,XSHG,C38,电气机械和器材制造业,2000-07-20,600261.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,阳光照明,CS
12,ZBJT,MainBoard,0000-00-00,XSHE,F52,零售业,1997-05-19,000759.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,中百集团,CS
13,DXTX,MainBoard,0000-00-00,XSHG,I65,软件和信息技术服务业,2016-10-11,603421.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,鼎信通讯,CS
14,DZGY,MainBoard,0000-00-00,XSHG,D45,燃气生产和供应业,1993-03-04,600635.XSHG,100.0,Utilities,公用事业,Normal,Active,大众公用,CS
15,CHKJ,GEM,0000-00-00,XSHE,C35,专用设备制造业,2010-12-22,300151.XSHE,100.0,Industrials,工业,Normal,Active,昌红科技,CS
16,GFZQ,MainBoard,0000-00-00,XSHE,J67,资本市场服务,1997-06-11,000776.XSHE,100.0,Financials,金融,Normal,Active,广发证券,CS
17,HXSP,SMEBoard,0000-00-00,XSHE,C13,农副食品加工业,2012-10-11,002702.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,海欣食品,CS
18,LYKG,MainBoard,0000-00-00,XSHE,B07,石油和天然气开采业,2000-06-22,000968.XSHE,100.0,Energy,能源,Normal,Active,蓝焰控股,CS
19,ZHJD,SMEBoard,0000-00-00,XSHE,C37,铁路、船舶、航空航天和其他运输设备制造业,2004-07-05,002013.XSHE,100.0,Industrials,工业,Normal,Active,中航机电,CS
20,XHZY,MainBoard,0000-00-00,XSHE,C27,医药制造业,1997-08-06,000756.XSHE,100.0,HealthCare,医疗保健,Normal,Active,新华制药,CS
21,STHS,MainBoard,2005-08-05,XSHG,Unknown,未知,1993-09-17,600672.XSHG,100.0,Materials,原材料,Other,Delisted,*ST华圣,CS
22,HWGF,GEM,0000-00-00,XSHE,C35,专用设备制造业,2010-07-28,300095.XSHE,100.0,Industrials,工业,Normal,Active,华伍股份,CS
23,JZGF,GEM,0000-00-00,XSHE,C40,仪器仪表制造业,2016-10-21,300553.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,集智股份,CS
24,YBDD,SMEBoard,0000-00-00,XSHE,C41,其他制造业,2014-01-28,002718.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,友邦吊顶,CS
25,ZYGY,MainBoard,0000-00-00,XSHG,C36,汽车制造业,2017-01-26,603089.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,正裕工业,CS
26,GTGF,SMEBoard,0000-00-00,XSHE,C30,非金属矿物制品业,2008-01-23,002205.XSHE,100.0,Industrials,工业,Normal,Active,国统股份,CS
27,ZGZQ,MainBoard,0000-00-00,XSHE,C36,汽车制造业,1999-11-25,000951.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,中国重汽,CS
28,TYKJ,GEM,0000-00-00,XSHE,I65,软件和信息技术服务业,2012-03-21,300302.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,同有科技,CS
29,SDKJ,GEM,0000-00-00,XSHE,C40,仪器仪表制造业,2016-06-08,300515.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,三德科技,CS
30,JWFJ,MainBoard,0000-00-00,XSHE,C35,专用设备制造业,1996-12-10,000666.XSHE,100.0,Financials,金融,Normal,Active,经纬纺机,CS
31,ZDS,SMEBoard,0000-00-00,XSHE,F52,零售业,2017-04-27,002867.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,周大生,CS
32,JHW,MainBoard,0000-00-00,XSHG,C26,化学原料及化学制品制造业,2017-04-10,603078.XSHG,100.0,Materials,原材料,Normal,Active,江化微,CS
33,WLY,SMEBoard,0000-00-00,XSHE,C36,汽车制造业,2010-06-18,002434.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,万里扬,CS
34,*STYF,MainBoard,0000-00-00,XSHG,B11,开采辅助活动,1995-04-11,600871.XSHG,100.0,Energy,能源,StarST,Active,*ST油服,CS
35,NWRJ,MainBoard,0000-00-00,XSHG,I65,软件和信息技术服务业,2014-12-30,603636.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,南威软件,CS
36,WKA,MainBoard,0000-00-00,XSHE,K70,房地产业,1991-01-29,000002.XSHE,100.0,Financials,金融,Normal,Active,万科A,CS
37,ZYYQ,MainBoard,2006-04-21,XSHE,Unknown,未知,1999-11-10,000956.XSHE,100.0,Energy,能源,Normal,Delisted,中原油气,CS
38,GDWL,MainBoard,0000-00-00,XSHG,I63,电信、广播电视和卫星传输服务,1994-02-24,600831.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,广电网络,CS
39,SDJT,MainBoard,0000-00-00,XSHG,C39,计算机、通信和其他电子设备制造业,1996-08-08,600734.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,实达集团,CS
40,QBGF,MainBoard,0000-00-00,XSHG,C19,皮革、毛皮、羽毛及其制品和制鞋业,2017-08-18,603557.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,起步股份,CS
